pe l	ẹ
 eul	ẹo
 ejl	ẹi
 ecl	ẹc
 efl	ẹng
 enl	ẹn
 eml	ẹm
 evl	ẹp
 erl	ẹt

pe o	oẹ
 euo	oẹo
 ejo	oẹi
 eco	oẹc
 efo	oẹng
 eno	oẹn
 emo	oẹm
 evo	oẹp
 ero	oẹt

te l	gẹ
teul	gẹo
tejl	gẹi
tecl	gẹc
tefl	gẹng
tenl	gẹn
teml	gẹm
tevl	gẹp
terl	gẹt

te o	gioẹ
teuo	gioẹo
tejo	gioẹi
teco	gioẹc
tefo	gioẹng
teno	gioẹn
temo	gioẹm
tevo	gioẹp
tero	gioẹt
